y: Angle of attack, u: Rudder deflection
-0.1013,-0.1745
-0.0963,-0.1745
-0.0908,-0.1745
-0.0848,-0.1745
-0.0785,-0.1745
-0.0717,-0.1745
-0.0645,-0.1745
-0.0571,-0.1745
-0.0494,-0.1745
-0.0414,-0.1745
-0.0333,-0.1745
-0.0250,-0.1745
-0.0165,0.1745
-0.0080,0.1745
0.0005,0.1745
0.0089,0.1745
0.0170,0.1745
0.0247,0.1745
0.0319,0.1745
0.0386,0.1745
0.0448,0.1745
0.0503,0.1745
0.0553,0.1745
0.0596,0.1745
0.0634,0.1745
0.0666,0.1745
0.0692,0.1745
0.0712,0.1745
0.0726,0.1745
0.0735,0.1745
0.0738,0.1745
0.0736,0.1745
0.0728,0.1745
0.0715,0.1745
0.0698,0.1745
0.0675,0.1745
0.0648,0.1745
0.0617,0.1745
0.0581,0.1745
0.0542,-0.1745
0.0499,-0.1745
0.0454,-0.1745
0.0407,-0.1745
0.0361,-0.1745
0.0315,-0.1745
0.0271,-0.1745
0.0230,-0.1745
0.0191,-0.1745
0.0155,-0.1745
0.0122,-0.1745
0.0092,-0.1745
0.0065,-0.1745
0.0040,-0.1745
0.0019,-0.1745
0.0000,-0.1745
-0.0016,-0.1745
-0.0029,-0.1745
-0.0039,-0.1745
-0.0047,-0.1745
-0.0052,-0.1745
-0.0054,-0.1745
-0.0054,-0.1745
-0.0051,-0.1745
-0.0046,-0.1745
-0.0038,-0.1745
-0.0028,-0.1745
-0.0016,-0.1745
-0.0001,-0.1745
0.0015,-0.1745
0.0033,-0.1745
0.0054,0.1745
0.0075,0.1745
0.0098,0.1745
0.0120,0.1745
0.0141,0.1745
0.0160,0.1745
0.0175,0.1745
0.0187,0.1745
0.0196,0.1745
0.0201,0.1745
0.0203,0.1745
0.0201,0.1745
0.0195,0.1745
0.0187,0.1745
0.0176,0.1745
0.0161,0.1745
0.0145,0.1745
0.0125,0.1745
0.0103,0.1745
0.0079,0.1745
0.0052,0.1745
0.0024,0.1745
-0.0006,0.1745
-0.0038,0.1745
-0.0072,0.1745
-0.0107,0.1745
-0.0144,0.1745
-0.0181,0.1745
-0.0220,0.1745
-0.0259,0.1745
-0.0299,0.1745
-0.0340,0.1745
-0.0381,-0.1745
-0.0421,-0.1745
-0.0461,-0.1745
-0.0499,-0.1745
-0.0534,-0.1745
-0.0565,-0.1745
-0.0591,-0.1745
-0.0612,-0.1745
-0.0628,-0.1745
-0.0638,-0.1745
-0.0643,-0.1745
-0.0643,-0.1745
-0.0638,-0.1745
-0.0628,-0.1745
-0.0614,-0.1745
-0.0595,-0.1745
-0.0573,-0.1745
-0.0546,-0.1745
-0.0515,-0.1745
-0.0481,-0.1745
-0.0444,-0.1745
-0.0403,-0.1745
-0.0360,-0.1745
-0.0314,-0.1745
-0.0265,-0.1745
-0.0215,-0.1745
-0.0162,-0.1745
-0.0108,-0.1745
-0.0053,-0.1745
0.0004,-0.1745
0.0062,-0.1745
0.0121,-0.1745
0.0180,-0.1745
0.0239,-0.1745
0.0299,-0.1745
0.0358,0.1745
0.0417,0.1745
0.0475,0.1745
0.0530,0.1745
0.0582,0.1745
0.0628,0.1745
0.0669,0.1745
0.0704,0.1745
0.0733,0.1745
0.0756,0.1745
0.0773,0.1745
0.0783,0.1745
0.0788,0.1745
0.0786,0.1745
0.0780,0.1745
0.0768,0.1745
0.0750,0.1745
0.0728,0.1745
0.0701,0.1745
0.0669,0.1745
0.0633,0.1745
0.0594,0.1745
0.0550,-0.1745
0.0503,-0.1745
0.0453,-0.1745
0.0403,-0.1745
0.0352,-0.1745
0.0303,-0.1745
0.0255,-0.1745
0.0210,-0.1745
0.0168,-0.1745
0.0129,-0.1745
0.0093,-0.1745
0.0060,-0.1745
0.0030,-0.1745
0.0003,-0.1745
-0.0021,-0.1745
-0.0042,-0.1745
-0.0060,-0.1745
-0.0075,-0.1745
-0.0087,-0.1745
-0.0096,-0.1745
-0.0102,-0.1745
-0.0106,0.1745
-0.0106,0.1745
-0.0105,0.1745
-0.0103,0.1745
-0.0101,0.1745
-0.0100,0.1745
-0.0101,0.1745
-0.0104,0.1745
-0.0109,0.1745
-0.0116,0.1745
-0.0125,0.1745
