y1,y2,y3,u1,u2,u3
0.0097944887909533,-0.00265611268123836,-0.00548372720057146,500000,500000,5000000
-0.00096267955052387,-0.013806708657954,-0.00728371038269661,500000,500000,5000000
0.142489091776411,-0.0179648329311375,0.00991244356714497,500000,500000,5000000
0.358952961578455,0.0299544170089893,0.0140013621850762,500000,500000,5000000
0.732980385735082,0.0695356653383873,0.00315023792408877,500000,500000,5000000
1.24019055504755,0.120840534987878,-0.000521745878672052,500000,500000,5000000
1.862208451051,0.175556118980129,-0.0112159327518797,500000,500000,5000000
2.6052431861925,0.246491731625778,-0.00174893338352528,500000,500000,5000000
3.44294339276938,0.324220481472941,0.00809848825257454,500000,500000,5000000
4.45601989687769,0.407077354558153,0.00453683452273368,500000,500000,5000000
5.55746639559709,0.516150483935038,0.0131667780116848,500000,500000,5000000
6.79326005599939,0.614258144101862,-0.0149063932761548,500000,500000,5000000
8.15863766437089,0.744722057852689,0.00238713261343192,500000,500000,5000000
9.6534298971373,0.892268764680875,0.00684944771327536,500000,500000,5000000
11.2591938096182,1.03734492006009,-0.00200218196983002,500000,500000,5000000
12.9733528538124,1.18479789461034,0.00112594456657019,500000,500000,5000000
14.8272972042682,1.35821692581966,0.00520354213141531,500000,500000,5000000
16.810500695518,1.53789277639821,0.024514324688698,500000,500000,5000000
18.8885346234807,1.74588801991414,0.0108994983474888,500000,500000,5000000
21.1129747525566,1.9560066871458,0.0238201187703261,500000,500000,5000000
23.46147835454,2.14466157872281,0.0175994382203906,500000,500000,5000000
25.9540144536911,2.38346380366902,0.0253015716517847,500000,500000,5000000
28.5359884299897,2.6213614398302,0.0283509476483815,500000,500000,5000000
31.2483477005442,2.86630233676956,0.00616463408176485,500000,500000,5000000
34.080633622289,3.11160903849068,0.0336103237827093,500000,500000,5000000
37.0326001136053,3.41114022985343,0.0265263437380371,500000,500000,5000000
40.1286857499652,3.68498128254683,0.0414072535688008,500000,500000,5000000
43.3593328544936,3.98526777294192,0.0462615844351379,500000,500000,5000000
46.6808342589295,4.26971928144902,0.0374334204684834,500000,500000,5000000
50.11637125955,4.58797425017673,0.0528291540210235,500000,500000,5000000
53.6758767329464,4.92683752730002,0.0451887359925605,500000,500000,5000000
57.3933490750983,5.24354531620506,0.043713436569631,500000,500000,5000000
61.2240624695835,5.59491249034578,0.0449422526598204,500000,500000,5000000
65.1528132997756,5.96113845434607,0.0463698948975862,500000,500000,5000000
69.2305883433605,6.32923175423369,0.0587780571645911,500000,500000,5000000
73.4248688948272,6.69766399372717,0.0788529935438819,500000,500000,5000000
77.7308231058873,7.10621490993576,0.067644292691997,500000,500000,5000000
82.1717040326222,7.51170991887562,0.0609568499708841,500000,500000,5000000
86.7371450453202,7.89526450496192,0.0608727617519227,500000,500000,5000000
91.416518944571,8.32676179884448,0.0791394760189386,500000,500000,5000000
96.2118676948013,8.78061100602425,0.0938081911261377,500000,500000,5000000
101.124988068141,9.19264195934316,0.0822447466311105,500000,500000,5000000
106.199321832149,9.6510443047516,0.0920129105624724,500000,500000,5000000
111.357700069587,10.1244537039607,0.107990313175322,500000,500000,5000000
116.647643178148,10.5975524710914,0.10518411723787,500000,500000,-5000000
122.05481827044,11.0670685263314,0.129826303341683,500000,500000,-5000000
127.604923772704,11.5766901477081,0.13492198210611,500000,500000,-5000000
133.26539354241,12.0926365004138,0.123958472855113,500000,500000,-5000000
139.06021159658,12.6051429922579,0.128134596406555,500000,-500000,-5000000
144.954811726368,13.1382773127807,0.122176281957501,500000,-500000,-5000000
150.978118922637,13.6356705682943,0.156180242008376,500000,-500000,-5000000
157.134020022393,14.1276356005488,0.155286848533021,500000,-500000,-5000000
163.38694700887,14.6282379606324,0.138513255014523,500000,-500000,-5000000
169.811565131413,15.0906124187643,0.156550287961809,500000,-500000,-5000000
176.296165230676,15.5512124073994,0.138612064138189,500000,-500000,-5000000
182.939805246156,15.9753595921818,0.158648750858926,500000,-500000,-5000000
189.693215010159,16.4035848306211,0.175823242758821,500000,-500000,-5000000
196.562298365718,16.8069225011823,0.162279151125616,-500000,-500000,-5000000
203.571293992539,17.2090231742505,0.154613583370458,-500000,-500000,-5000000
210.454149837666,17.5773318250338,0.16776068385471,-500000,-500000,-5000000
217.193601932128,17.9478795108584,0.171098519687941,-500000,-500000,-5000000
223.817466650287,18.2845925652407,0.170473887717879,-500000,-500000,-5000000
230.320846220335,18.6250771893378,0.195661247255821,-500000,-500000,-5000000
236.650906031793,18.9627348648321,0.176542685858918,-500000,-500000,-5000000
242.878537923372,19.2501068781717,0.193842522458404,-500000,-500000,-5000000
249.001135389253,19.5357673267023,0.202673917430065,-500000,-500000,-5000000
254.98838877294,19.810252255874,0.204157433760413,-500000,-500000,-5000000
260.809144119931,20.066104406054,0.20699848784619,-500000,-500000,-5000000
266.543455750123,20.3012260211727,0.201612102377664,-500000,-500000,-5000000
272.128144951533,20.5356144253784,0.223924902584127,-500000,-500000,-5000000
277.607364597284,20.746727806734,0.226801341099721,-500000,-500000,-5000000
282.931537944166,20.9327349068171,0.209213233247074,-500000,-500000,-5000000
288.141901748137,21.1277873060487,0.204745629654871,-500000,-500000,-5000000
293.223649693817,21.3069060787415,0.228220290342481,-500000,-500000,-5000000
298.15846180335,21.4603007135453,0.233760717155935,-500000,-500000,-5000000
303.004060220357,21.5827582254916,0.211129815211009,-500000,-500000,-5000000
307.698137746642,21.7250137515534,0.231965609888717,-500000,-500000,-5000000
312.268960197348,21.8247438544523,0.218306529943279,-500000,-500000,-5000000
