y:Bottomhole Pressure,flow,u:Valve
0.1092,1.9246,0.2175
0.1102,1.9292,0.2175
0.1111,1.9332,0.2175
0.1119,1.9367,0.2175
0.1126,1.9398,0.2175
0.1132,1.9425,0.2175
0.1137,1.9449,0.2175
0.1141,1.9470,0.2175
0.1146,1.9489,0.2175
0.1149,1.9505,0.2175
0.1152,1.9519,0.2175
0.1155,1.9532,0.2175
0.1157,1.9543,0.2175
0.1160,1.9553,0.2175
0.1161,1.9561,0.2175
0.1163,1.9569,0.2175
0.1164,1.9576,0.2175
0.1166,1.9581,0.2175
0.1170,1.9591,0.2175
0.1186,1.9615,0.2175
0.1202,1.9634,0.2175
0.1218,1.9646,0.2175
0.1234,1.9652,0.2175
0.1248,1.9650,0.2175
0.1262,1.9641,0.2175
0.1274,1.9625,0.2175
0.1285,1.9603,0.2175
0.1294,1.9574,0.2175
0.1301,1.9539,0.2175
0.1307,1.9498,0.2175
0.1311,1.9453,0.2175
0.1313,1.9403,0.2175
0.1314,1.9349,0.2175
0.1312,1.9292,0.2175
0.1309,1.9233,0.2175
0.1303,1.9172,0.2175
0.1297,1.9112,0.2175
0.1288,1.9051,0.2325
0.1369,1.8960,0.2325
0.1358,1.8869,0.2325
0.1344,1.8778,0.2325
0.1327,1.8689,0.2325
0.1309,1.8604,0.2325
0.1289,1.8525,0.2325
0.1267,1.8452,0.2325
0.1245,1.8387,0.2325
0.1222,1.8332,0.2325
0.1199,1.8285,0.2325
0.1177,1.8249,0.2325
0.1156,1.8224,0.2325
0.1136,1.8208,0.2325
0.1118,1.8203,0.2325
0.1101,1.8207,0.2325
0.1087,1.8220,0.2325
0.1074,1.8241,0.2325
0.1063,1.8269,0.2325
0.1054,1.8304,0.2325
0.1047,1.8344,0.2325
0.1042,1.8390,0.2325
0.1040,1.8439,0.2325
0.1039,1.8491,0.2325
0.1043,1.8548,0.2325
0.1048,1.8606,0.2325
0.1055,1.8663,0.2325
0.1063,1.8718,0.2325
0.1071,1.8770,0.2325
0.1079,1.8820,0.2325
0.1087,1.8866,0.2325
0.1095,1.8908,0.2325
0.1106,1.8952,0.2325
0.1122,1.8998,0.2325
0.1135,1.9034,0.2325
0.1151,1.9069,0.2325
0.1164,1.9095,0.2325
0.1180,1.9117,0.2325
0.1193,1.9130,0.2325
0.1210,1.9144,0.2325
0.1225,1.9149,0.2325
0.1229,1.9134,0.2325
0.1239,1.9125,0.2325
0.1248,1.9112,0.2325
0.1257,1.9095,0.2325
0.1265,1.9072,0.2325
0.1271,1.9044,0.2325
0.1275,1.9012,0.2325
0.1278,1.8976,0.2325
0.1279,1.8937,0.2325
0.1278,1.8896,0.2175
0.1191,1.8881,0.2175
0.1186,1.8868,0.2175
0.1180,1.8856,0.2175
0.1175,1.8847,0.2175
0.1171,1.8840,0.2175
0.1166,1.8836,0.2175
0.1161,1.8833,0.2175
0.1157,1.8833,0.2175
0.1153,1.8835,0.2175
0.1150,1.8839,0.2175
0.1147,1.8845,0.2175
0.1145,1.8852,0.2175
0.1143,1.8861,0.2175
0.1141,1.8872,0.2175
0.1140,1.8884,0.2175
0.1139,1.8897,0.2175
0.1139,1.8910,0.2175
0.1139,1.8925,0.2175
0.1140,1.8940,0.2175
0.1141,1.8955,0.2175
0.1143,1.8970,0.2175
0.1145,1.8985,0.2175
0.1147,1.9000,0.2175
0.1150,1.9015,0.2175
0.1152,1.9028,0.2175
0.1155,1.9041,0.2325
0.1242,1.9027,0.2325
0.1249,1.9008,0.2325
0.1254,1.8986,0.2325
0.1258,1.8960,0.2325
0.1260,1.8931,0.2325
0.1261,1.8899,0.2325
0.1261,1.8864,0.2325
0.1259,1.8829,0.2325
0.1256,1.8792,0.2325
0.1252,1.8755,0.2325
0.1246,1.8718,0.2325
0.1240,1.8682,0.2325
0.1233,1.8647,0.2325
0.1225,1.8615,0.2175
0.1135,1.8612,0.2175
0.1125,1.8615,0.2175
0.1117,1.8623,0.2175
0.1109,1.8636,0.2175
0.1102,1.8653,0.2175
0.1097,1.8675,0.2325
0.1171,1.8675,0.2325
0.1171,1.8675,0.2325
0.1170,1.8676,0.2325
0.1169,1.8678,0.2325
0.1169,1.8679,0.2325
0.1169,1.8681,0.2325
0.1169,1.8683,0.2325
0.1168,1.8686,0.2325
0.1168,1.8688,0.2325
0.1169,1.8691,0.2325
0.1169,1.8694,0.2325
0.1169,1.8697,0.2325
0.1169,1.8699,0.2325
0.1170,1.8702,0.2325
0.1170,1.8705,0.2325
0.1171,1.8707,0.2325
0.1172,1.8710,0.2325
0.1172,1.8712,0.2325
0.1173,1.8714,0.2325
0.1174,1.8715,0.2325
0.1174,1.8717,0.2325
0.1175,1.8718,0.2325
0.1176,1.8718,0.2325
0.1176,1.8719,0.2325
0.1177,1.8719,0.2325
0.1178,1.8719,0.2175
0.1099,1.8744,0.2175
0.1097,1.8771,0.2175
0.1095,1.8801,0.2175
0.1095,1.8832,0.2175
0.1096,1.8864,0.2175
0.1098,1.8897,0.2175
0.1101,1.8931,0.2175
0.1104,1.8965,0.2175
0.1109,1.8998,0.2175
0.1114,1.9030,0.2175
0.1119,1.9062,0.2175
0.1125,1.9092,0.2175
0.1132,1.9120,0.2175
0.1139,1.9146,0.2175
0.1146,1.9170,0.2175
0.1154,1.9191,0.2175
0.1162,1.9210,0.2175
0.1169,1.9226,0.2175
0.1177,1.9238,0.2175
0.1184,1.9248,0.2175
0.1191,1.9254,0.2175
0.1198,1.9257,0.2175
0.1205,1.9257,0.2175
0.1210,1.9254,0.2175
0.1216,1.9248,0.2175
0.1220,1.9238,0.2175
0.1224,1.9226,0.2175
0.1228,1.9212,0.2175
0.1230,1.9195,0.2175
0.1232,1.9176,0.2325
0.1321,1.9126,0.2325
0.1323,1.9071,0.2325
0.1323,1.9013,0.2325
0.1320,1.8951,0.2325
0.1316,1.8887,0.2325
0.1308,1.8822,0.2325
0.1299,1.8758,0.2325
0.1288,1.8694,0.2325
0.1275,1.8634,0.2325
0.1261,1.8576,0.2325
0.1247,1.8523,0.2325
0.1231,1.8476,0.2325
0.1215,1.8434,0.2325
0.1199,1.8399,0.2325
0.1183,1.8371,0.2325
0.1168,1.8349,0.2325
0.1153,1.8335,0.2325
0.1139,1.8328,0.2325
0.1126,1.8328,0.2325
0.1115,1.8334,0.2325
0.1105,1.8347,0.2325
0.1096,1.8365,0.2325
0.1089,1.8388,0.2325
0.1083,1.8416,0.2325
0.1079,1.8447,0.2325
0.1077,1.8482,0.2325
0.1075,1.8520,0.2325
0.1076,1.8559,0.2325
0.1077,1.8600,0.2325
0.1081,1.8641,0.2325
0.1085,1.8683,0.2325
0.1090,1.8724,0.2325
0.1097,1.8765,0.2325
0.1105,1.8804,0.2325
0.1113,1.8841,0.2325
0.1122,1.8875,0.2325
0.1132,1.8907,0.2325
0.1143,1.8935,0.2325
0.1153,1.8960,0.2175
0.1088,1.9009,0.2175
0.1094,1.9051,0.2175
0.1099,1.9090,0.2175
0.1108,1.9130,0.2175
0.1120,1.9173,0.2325
0.1206,1.9175,0.2325
0.1221,1.9180,0.2325
0.1234,1.9178,0.2325
0.1246,1.9171,0.2325
0.1257,1.9157,0.2325
0.1267,1.9137,0.2325
0.1275,1.9111,0.2325
0.1281,1.9080,0.2325
0.1286,1.9045,0.2325
0.1289,1.9005,0.2325
0.1290,1.8961,0.2325
0.1289,1.8915,0.2325
0.1286,1.8867,0.2325
0.1282,1.8817,0.2325
0.1276,1.8768,0.2325
0.1268,1.8718,0.2325
0.1259,1.8671,0.2325
0.1249,1.8625,0.2325
0.1238,1.8582,0.2325
0.1226,1.8543,0.2325
0.1214,1.8508,0.2325
0.1202,1.8477,0.2325
0.1190,1.8452,0.2325
0.1177,1.8432,0.2325
0.1166,1.8417,0.2325
0.1154,1.8408,0.2325
0.1144,1.8404,0.2325
0.1134,1.8405,0.2325
0.1126,1.8411,0.2325
0.1118,1.8422,0.2325
0.1111,1.8437,0.2325
0.1106,1.8456,0.2325
